Michigan December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,21.3,3.2
201002,23.1,4.0
201003,37.6,8.6
201004,49.0,7.1
201005,58.3,4.7
201006,64.9,1.6
201007,71.4,3.3
201008,70.7,4.8
201009,58.1,-0.4
201010,49.9,2.4
201011,37.8,3.2
201012,22.8,-0.5
201101,16.9,-1.2
201102,21.3,2.2
201103,28.8,-0.2
201104,42.0,0.1
201105,55.0,1.4
201106,64.2,0.9
201107,72.7,4.6
201108,68.3,2.4
201109,58.7,0.2
201110,49.7,2.2
201111,39.9,5.3
201112,29.9,6.6
201201,25.1,7.0
201202,28.4,9.3
201203,44.7,15.7
201204,43.9,2.0
201205,59.0,5.4
201206,66.5,3.2
201207,73.5,5.4
201208,67.5,1.6
201209,58.4,-0.1
201210,47.5,0.0
201211,36.2,1.6
201212,30.4,7.1
201301,23.0,4.9
201302,20.9,1.8
201303,27.8,-1.2
201304,39.5,-2.4
201305,56.5,2.9
201306,63.8,0.5
201307,68.8,0.7
201308,66.6,0.7
201309,59.5,1.0
201310,48.8,1.3
201311,34.2,-0.4
201312,19.3,-4.0
201401,12.3,-5.8
201402,12.7,-6.4
201403,21.0,-8.0
201404,41.2,-0.7
201405,54.6,1.0
201406,65.2,1.9
201407,64.8,-3.3
201408,66.0,0.1
201409,58.8,0.3
201410,47.5,0.0
201411,30.3,-4.3
201412,28.2,4.9
201501,16.6,-1.5
201502,8.0,-11.1
201503,28.6,-0.4
201504,43.2,1.3
201505,57.2,3.6
201506,62.5,-0.8
201507,67.9,-0.2
201508,66.9,1.0
201509,64.6,6.1
201510,48.9,1.4
201511,41.3,6.7
201512,35.6,12.3
201601,22.3,4.2
201602,25.3,6.2
201603,36.1,7.1
201604,40.8,-1.1
201605,55.4,1.8
201606,64.7,1.4
201607,70.3,2.2
201608,70.8,4.9
201609,63.5,5.0
201610,51.6,4.1
201611,42.6,8.0
201612,25.0,1.7
201701,25.2,7.1
201702,29.9,10.8
201703,30.7,1.7
201704,47.2,5.3
201705,53.0,-0.6
201706,65.3,2.0
201707,68.5,0.4
201708,65.2,-0.7
201709,62.6,4.1
201710,52.5,5.0
201711,34.5,-0.1
201712,20.9,-2.4
201801,20.0,1.9
201802,23.0,3.9
201803,29.6,0.6
201804,35.2,-6.7
201805,60.2,6.6
201806,65.2,1.9
201807,70.5,2.4
201808,69.8,3.9
201809,62.4,3.9
201810,45.9,-1.6
201811,30.8,-3.8
201812,28.7,5.4
201901,16.8,-1.3
201902,19.9,0.8
201903,27.5,-1.5
201904,42.5,0.6
201905,51.8,-1.8
201906,62.5,-0.8
201907,70.9,2.8
201908,66.3,0.4
201909,62.3,3.8
201910,47.5,0.0
201911,30.8,-3.8
201912,28.4,5.1
202001,27.0,8.9
202002,23.7,4.6
202003,35.0,6.0
202004,40.2,-1.7
202005,53.2,-0.4
202006,66.0,2.7
202007,72.5,4.4
202008,68.6,2.7
202009,58.2,-0.3
202010,44.4,-3.1
202011,41.1,6.5
202012,28.6,5.3
202101,25.0,6.9
202102,17.4,-1.7
202103,36.8,7.8
202104,45.1,3.2
202105,54.0,0.4
202106,67.8,4.5
202107,68.7,0.6
202108,71.0,5.1
202109,61.4,2.9
202110,55.2,7.7
202111,36.3,1.7
202112,30.1,6.8
202201,15.4,-2.7
202202,19.5,0.4
202203,31.0,2.0
202204,40.2,-1.7
202205,57.6,4.0
202206,65.0,1.7
202207,69.2,1.1
202208,68.2,2.3
202209,60.9,2.4
202210,48.3,0.8
202211,38.6,4.0
202212,26.9,3.6
202301,28.2,10.1
202302,26.5,7.4
202303,31.4,2.4
202304,44.9,3.0
202305,55.0,1.4
202306,64.7,1.4
202307,68.4,0.3
202308,65.6,-0.3
202309,62.0,3.5
202310,50.5,3.0
202311,36.3,1.7
202312,35.1,11.8
202401,24.4,6.3
202402,31.9,12.8
