Nevada December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,32.9,3.0
201002,35.8,1.7
201003,39.9,0.4
201004,44.2,-2.4
201005,49.2,-5.8
201006,64.8,0.9
201007,74.1,2.0
201008,69.9,-0.2
201009,63.9,2.2
201010,52.9,2.2
201011,37.4,-1.5
201012,35.6,4.4
201101,32.9,3.0
201102,32.8,-1.3
201103,40.6,1.1
201104,44.4,-2.2
201105,50.8,-4.2
201106,62.4,-1.5
201107,71.9,-0.2
201108,72.5,2.4
201109,65.6,3.9
201110,52.4,1.7
201111,37.6,-1.3
201112,30.9,-0.3
201201,35.0,5.1
201202,34.6,0.5
201203,42.4,2.9
201204,49.9,3.3
201205,58.0,3.0
201206,66.2,2.3
201207,73.7,1.6
201208,74.2,4.1
201209,66.2,4.5
201210,53.4,2.7
201211,43.4,4.5
201212,31.3,0.1
201301,26.0,-3.9
201302,33.3,-0.8
201303,44.7,5.2
201304,48.4,1.8
201305,56.5,1.5
201306,68.6,4.7
201307,76.3,4.2
201308,71.6,1.5
201309,62.5,0.8
201310,48.1,-2.6
201311,41.5,2.6
201312,28.4,-2.8
201401,37.1,7.2
201402,39.2,5.1
201403,43.4,3.9
201404,49.0,2.4
201405,57.4,2.4
201406,66.7,2.8
201407,76.1,4.0
201408,69.5,-0.6
201409,65.5,3.8
201410,55.4,4.7
201411,41.5,2.6
201412,35.6,4.4
201501,37.7,7.8
201502,42.8,8.7
201503,47.6,8.1
201504,47.8,1.2
201505,55.4,0.4
201506,71.0,7.1
201507,70.9,-1.2
201508,72.7,2.6
201509,65.9,4.2
201510,56.2,5.5
201511,35.9,-3.0
201512,30.8,-0.4
201601,31.1,1.2
201602,38.0,3.9
201603,44.2,4.7
201604,50.1,3.5
201605,55.1,0.1
201606,69.7,5.8
201607,73.7,1.6
201608,72.1,2.0
201609,62.3,0.6
201610,53.2,2.5
201611,43.2,4.3
201612,30.5,-0.7
201701,29.1,-0.8
201702,38.1,4.0
201703,45.7,6.2
201704,47.1,0.5
201705,57.1,2.1
201706,68.6,4.7
201707,76.2,4.1
201708,73.5,3.4
201709,61.6,-0.1
201710,50.4,-0.3
201711,44.4,5.5
201712,34.8,3.6
201801,38.5,8.6
201802,33.7,-0.4
201803,39.5,0.0
201804,50.0,3.4
201805,57.7,2.7
201806,67.8,3.9
201807,77.0,4.9
201808,73.2,3.1
201809,65.0,3.3
201810,50.3,-0.4
201811,39.4,0.5
201812,32.0,0.8
201901,34.1,4.2
201902,30.0,-4.1
201903,40.1,0.6
201904,50.1,3.5
201905,51.7,-3.3
201906,64.3,0.4
201907,72.8,0.7
201908,73.1,3.0
201909,61.7,0.0
201910,45.6,-5.1
201911,41.8,2.9
201912,33.2,2.0
202001,35.3,5.4
202002,36.3,2.2
202003,40.5,1.0
202004,48.8,2.2
202005,58.8,3.8
202006,65.0,1.1
202007,74.2,2.1
202008,75.6,5.5
202009,66.6,4.9
202010,55.3,4.6
202011,40.5,1.6
202012,32.4,1.2
202101,33.7,3.8
202102,35.6,1.5
202103,39.2,-0.3
202104,49.3,2.7
202105,57.2,2.2
202106,72.6,8.7
202107,77.8,5.7
202108,72.4,2.3
202109,65.5,3.8
202110,49.6,-1.1
202111,45.2,6.3
202112,32.4,1.2
202201,34.2,4.3
202202,34.6,0.5
202203,43.3,3.8
202204,47.3,0.7
202205,54.5,-0.5
202206,66.9,3.0
202207,76.3,4.2
202208,74.4,4.3
202209,67.6,5.9
202210,54.3,3.6
202211,34.3,-4.6
202212,31.7,0.5
202301,29.2,-0.7
202302,31.0,-3.1
202303,33.7,-5.8
202304,46.8,0.2
202305,57.2,2.2
202306,61.9,-2.0
202307,76.3,4.2
202308,70.9,0.8
202309,62.0,0.3
202310,52.4,1.7
202311,40.8,1.9
202312,37.2,6.0
202401,34.4,4.5
202402,36.5,2.4
